person_id,name,primary_name
i-2S2fPHZMJYmFcnSzsAVSv8,Elof Hagberth,true
i-2S2fPHZMJYmFcnSzsAVSv8,Hagberth,false
i-2S2fPHZMJYmFcnSzsAVSv8,Nils Elof Hagberth,false
i-2SmrPgp2WQ2mrQPZdFdGHd,Andersson,false
i-2SmrPgp2WQ2mrQPZdFdGHd,Thure Andersson,true
i-2SmrPgp2WQ2mrQPZdFdGHd,Thure Gunnar Andersson,false
i-2SnUjYd3qzUQVBobN3u1Yc,Ulrika Eva Charlotte Heie,false
i-2SnUjYd3qzUQVBobN3u1Yc,Ulrika Heie,true
i-2TWbQYA8ZvveMrG4prL575,Ernst Alarik Klefbeck,false
i-2TWbQYA8ZvveMrG4prL575,Ernst Klefbeck,true
i-2TWbQYA8ZvveMrG4prL575,Klefbeck,false
i-2TbJKggFihcEZWLdGpj6Qa,Hellberg,false
i-2TbJKggFihcEZWLdGpj6Qa,Johan Adolf Hellberg,true
i-2TbJKggFihcEZWLdGpj6Qa,Johan Hellberg,false
i-2TjHxpmGAa43Gvfd6Uf3nm,Hansson,false
i-2TjHxpmGAa43Gvfd6Uf3nm,Ing-Marie Hansson,true
i-2TsHqq7PsF14bp7YkTxgw6,Gunnar Rönnberg,true
i-2TsHqq7PsF14bp7YkTxgw6,Rönnberg,false
i-2TsHqq7PsF14bp7YkTxgw6,Sven Gunnar Rönnberg,false
i-2U4y4kpuQrcdDAWFBSNkPp,Olof Thorell,true
i-2U4y4kpuQrcdDAWFBSNkPp,Thorell,false
i-2V14kMbwoqRCDnaJBAPWxH,Nils Erik Smedberg,true
i-2V14kMbwoqRCDnaJBAPWxH,Smedberg,false
i-2V2EbVqnAgYRK1wwG246WS,Nerman,false
i-2V2EbVqnAgYRK1wwG246WS,Ture Nerman,true
i-2VJazsFcETvv2ViUi5KBHJ,Henric Hardar Lundquist,false
i-2VJazsFcETvv2ViUi5KBHJ,Henric Lundquist,true
i-2VJazsFcETvv2ViUi5KBHJ,Lundquist,false
i-2VPEciYTYX5tZ66y4boe6F,C. G. Lindmark,false
i-2VPEciYTYX5tZ66y4boe6F,Carl Gustaf Lindmark,true
i-2VPEciYTYX5tZ66y4boe6F,Lindmark,false
i-2VZTfC47GBddiryCh2CpHE,Eriksson,false
i-2VZTfC47GBddiryCh2CpHE,Halvar Eriksson,true
i-2VaWfDfYCxUNRSZbTF7vcy,Anders Gustaf Månsson,false
i-2VaWfDfYCxUNRSZbTF7vcy,Gustaf Månsson,true
i-2VaWfDfYCxUNRSZbTF7vcy,Månsson,false
i-2WaJfXkP37vWkSWdCpY8f5,Fritiof Lundgren,true
i-2WaJfXkP37vWkSWdCpY8f5,Gustaf Fritiof Lundgren,false
i-2WaJfXkP37vWkSWdCpY8f5,Lundgren,false
i-2WwDvMvR68nyZfNDEjUGUE,Camitz,false
i-2WwDvMvR68nyZfNDEjUGUE,Ewert Camitz,true
i-2WwDvMvR68nyZfNDEjUGUE,Ewert Ludwig Camitz,false
i-2WwYPDGc9GytdbLU7PEMF8,Bexelius,false
i-2WwYPDGc9GytdbLU7PEMF8,Henrik Bexelius,true
i-2XCxJ3RXLvU5PqEuE5kuyp,Axel Erik Jansson,false
i-2XCxJ3RXLvU5PqEuE5kuyp,Erik Jansson,true
i-2XCxJ3RXLvU5PqEuE5kuyp,Jansson,false
i-2XreRSaEpTa5DhpG61Xopj,Martin Svensson,true
i-2XreRSaEpTa5DhpG61Xopj,Nils Johan Martin Svensson,false
