person_id,start,end,government,role
i-9CH1KbWwyrj8DRqAQB3Fza,,,Regeringen Löfven I,utbildningsminister
i-CicdbyfBoitjsXT8ugY99b,,,Regeringen Löfven I,miljöminister
i-DjeBWa5GvkPtwGp5yfccUZ,,2016-08-15,Regeringen Löfven I,skolminister
i-KTYc2rBrcxPNyJRR5s4dQD,,,Regeringen Löfven I,försvarsminister
i-LGnWAFHmtMWgHhZSuUL8EB,,,Regeringen Löfven I,civilminister
i-Xzt52E3ZeNyJ9HLW4B5Sk1,,,Regeringen Löfven I,statsminister
i-9CuY4EZ971YdyxJ8sudKc,,,Regeringen Löfven II,integrationsminister
i-HYbURAzNUTvqh65pcPmmZx,,2019-09-10,Regeringen Löfven II,utrikeshandelsminister
i-HxcQkHC9fDSzkJWgvdhDEF,,,Regeringen Löfven II,socialminister
i-KTYc2rBrcxPNyJRR5s4dQD,,,Regeringen Löfven II,försvarsminister
i-LGnWAFHmtMWgHhZSuUL8EB,,2019-10-01,Regeringen Löfven II,civilminister
i-PAgTpr3nkZRPEoiqjPKQAf,,,Regeringen Löfven II,idrottsminister
i-PMx51X9QbaLUMtQNq6sVfz,,,Regeringen Löfven II,högskoleminister
i-Spsbo7A5zikEeUY3JEYcNV,,,Regeringen Löfven II,inrikesminister
i-Xzt52E3ZeNyJ9HLW4B5Sk1,,,Regeringen Löfven II,statsminister
i-aihY66rhb8LqCkSn8GhKt,,2019-09-10,Regeringen Löfven II,utrikesminister
i-8eXWd1vC6ZRoeQdNAwzhbS,,,Regeringen Löfven III,minister för nordiskt samarbete
i-8eXWd1vC6ZRoeQdNAwzhbS,,,Regeringen Löfven III,utrikeshandelsminister
i-9CuY4EZ971YdyxJ8sudKc,,,Regeringen Löfven III,biträdande finansminister
i-C2s3YhmmVmNkgvznmmnD4x,,,Regeringen Löfven III,vice statsminister
i-HxcQkHC9fDSzkJWgvdhDEF,,,Regeringen Löfven III,socialminister
i-KTYc2rBrcxPNyJRR5s4dQD,,,Regeringen Löfven III,försvarsminister
i-LGnWAFHmtMWgHhZSuUL8EB,,,Regeringen Löfven III,socialförsäkringsminister
i-PAgTpr3nkZRPEoiqjPKQAf,,,Regeringen Löfven III,idrottsminister
i-PMx51X9QbaLUMtQNq6sVfz,,,Regeringen Löfven III,högskoleminister
i-Spsbo7A5zikEeUY3JEYcNV,,,Regeringen Löfven III,inrikesminister
i-Xzt52E3ZeNyJ9HLW4B5Sk1,,,Regeringen Löfven III,statsminister
i-DKX1MP4aaNtFZSpMKXCwY,,,Regeringen Palme I,statsminister
i-PiA69Zron44x5fF1pHdUBo,,1973-11-03,Regeringen Palme I,landsbygdsminister
i-TRwqmRRb2L7vgDjft4i5Z,,,Regeringen Palme I,infrastrukturminister
i-UfrNEXnVucqnziLrBUKgPc,,1973-06-30,Regeringen Palme I,konsultativt statsråd
i-2pEgGvjfozTyRxyzmLZFo2,,,Regeringen Palme II,landsbygdsminister
i-DKX1MP4aaNtFZSpMKXCwY,,,Regeringen Palme II,statsminister
i-HGfALYBg5SLYb8z1er3XK1,,1985-06-30,Regeringen Palme II,infrastrukturminister
i-VMM8TcHsHyQxuWoK8Upj7W,,1982-12-01,Regeringen Palme II,försvarsminister
i-VxBS1HHcrVMPJcDXUTpFJS,,1985-10-17,Regeringen Palme II,biståndsminister
i-3kVCtR7mCK6mW2F6oaBMR5,,,Regeringen Persson,statsminister
i-3sPbyicZy7gfbq8RdVTQMb,,1998-10-06,Regeringen Persson,infrastrukturminister
