person_id,start,end,party,party_id,swerik_party_id
i-QhURWkawnPDBf443faKewj,2002-09-30,2005-05-08,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
i-QhURWkawnPDBf443faKewj,2005-06-11,2006-10-02,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
i-QhURWkawnPDBf443faKewj,2006-10-02,2010-10-04,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
i-QhdbBfCQXCqPEr4GTwvK8F,2018-09-24,2022-09-26,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-QhdbBfCQXCqPEr4GTwvK8F,2022-09-26,2023-01-08,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-QhdbBfCQXCqPEr4GTwvK8F,2023-05-15,,Vänsterpartiet,Q110837,
i-QhnsQ4XHA6EXWk4gj8dW77,1971-01-11,1974-01-10,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QhnsQ4XHA6EXWk4gj8dW77,1974-01-10,1976-10-04,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QhnsQ4XHA6EXWk4gj8dW77,1976-10-04,1976-10-10,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QhnsQ4XHA6EXWk4gj8dW77,1979-10-01,1979-10-11,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QhnsQ4XHA6EXWk4gj8dW77,1982-10-04,1984-10-31,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
