calendar_year,parliament_year,chamber,swerik_party_id,nr_seats
1924,1924,ak,i-9fghptqkyNzTVdA8knRCGq,6
1924,1924,ak,i-NhgK2ujGF5t35o2VjT8Q5U,62
1924,1924,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,5
1924,1924,ak,i-V7MTfG5XaAmjbSDtLkyyfc,30
1924,1924,ak,i-TQCUzfkvYhBFrXeQwXoENH,5
1924,1924,ak,No SWERIK-id found,2
1924,1924,ak,i-CNbGLyuzdkRJ2sJBBpzJit,21
1924,1924,ak,i-VS8ddgxigwL5TceKtXGApS,99
1924,1924,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,4
1924,1924,fk,i-CNbGLyuzdkRJ2sJBBpzJit,17
1924,1924,fk,i-TQCUzfkvYhBFrXeQwXoENH,1
1924,1924,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1
1924,1924,fk,i-3kDgsboJBSv4zGqF4zfCsY,41
1924,1924,fk,i-9fghptqkyNzTVdA8knRCGq,12
1924,1924,fk,i-VS8ddgxigwL5TceKtXGApS,52
1924,1924,fk,i-V7MTfG5XaAmjbSDtLkyyfc,21
1925,1925,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,3
1925,1925,ak,i-V7MTfG5XaAmjbSDtLkyyfc,27
1925,1925,ak,i-9fghptqkyNzTVdA8knRCGq,4
1925,1925,ak,i-NhgK2ujGF5t35o2VjT8Q5U,66
1925,1925,ak,i-CNbGLyuzdkRJ2sJBBpzJit,23
1925,1925,ak,i-TQCUzfkvYhBFrXeQwXoENH,4
1925,1925,ak,i-VS8ddgxigwL5TceKtXGApS,103
1925,1925,fk,i-9fghptqkyNzTVdA8knRCGq,12
1925,1925,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,4
1925,1925,fk,i-VS8ddgxigwL5TceKtXGApS,52
1925,1925,fk,i-CNbGLyuzdkRJ2sJBBpzJit,17
1925,1925,fk,i-V7MTfG5XaAmjbSDtLkyyfc,21
1925,1925,fk,i-TQCUzfkvYhBFrXeQwXoENH,1
1925,1925,fk,i-3kDgsboJBSv4zGqF4zfCsY,41
1925,1925,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1926,1926,ak,i-9fghptqkyNzTVdA8knRCGq,4
1926,1926,ak,i-VS8ddgxigwL5TceKtXGApS,105
1926,1926,ak,i-NhgK2ujGF5t35o2VjT8Q5U,65
1926,1926,ak,i-TQCUzfkvYhBFrXeQwXoENH,4
1926,1926,ak,i-V7MTfG5XaAmjbSDtLkyyfc,28
1926,1926,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1926,1926,ak,i-CNbGLyuzdkRJ2sJBBpzJit,23
1926,1926,fk,i-VS8ddgxigwL5TceKtXGApS,51
1926,1926,fk,i-F6Stwe8wVnSPa3BbgusszQ,1
1926,1926,fk,i-3kDgsboJBSv4zGqF4zfCsY,43
1926,1926,fk,i-V7MTfG5XaAmjbSDtLkyyfc,24
1926,1926,fk,i-CNbGLyuzdkRJ2sJBBpzJit,15
1926,1926,fk,i-9fghptqkyNzTVdA8knRCGq,9
1926,1926,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1926,1926,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,3
