parliament_year,chamber,swerik_party_id,calendar_year,nr_seats_snapshot,nr_seats_gold,party,inception,dissolution,missing_party_mapping,diff,abs_diff
1918,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,1918,61,62,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-1,1
1918,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1918,55,57,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,-2,2
1918,ak,i-PgZ4noUUgrkZvcF5NuPikj,1918,2,0,Lantmannapartiet,1867-03-10,1912-01-01,false,2,2
1918,ak,i-PvAXgvY3G8qXv1ZM9xudRA,1918,5,14,Jordbrukarnas fria grupp,1918-01-01,1922-01-01,false,-9,9
1918,ak,i-SwzbNNYoyZYULLDiTu2zGP,1918,10,11,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,-1,1
1918,ak,i-VS8ddgxigwL5TceKtXGApS,1918,85,86,Socialdemokraterna,1889-01-01,9999-12-31,false,-1,1
1918,fk,i-3kDgsboJBSv4zGqF4zfCsY,1918,85,88,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-3,3
1918,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1918,2,0,Utan partibeteckning,1000-01-01,9999-12-31,false,2,2
1918,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1918,44,45,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-1,1
1918,fk,i-SwzbNNYoyZYULLDiTu2zGP,1918,1,1,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,0,0
1918,fk,i-VS8ddgxigwL5TceKtXGApS,1918,15,16,Socialdemokraterna,1889-01-01,9999-12-31,false,-1,1
1919,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1919,1,0,Utan partibeteckning,1000-01-01,9999-12-31,false,1,1
1919,ak,i-CJb7bcc1eZcehvGarg8GpB,1919,1,0,Vänsterpartiet,1990-01-01,9999-12-31,false,1,1
1919,ak,i-CNbGLyuzdkRJ2sJBBpzJit,1919,9,0,Bondeförbundet,1913-01-01,1956-12-31,false,9,9
1919,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,1919,60,62,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-2,2
1919,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1919,54,57,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,-3,3
1919,ak,i-PgZ4noUUgrkZvcF5NuPikj,1919,2,0,Lantmannapartiet,1867-03-10,1912-01-01,false,2,2
1919,ak,i-PvAXgvY3G8qXv1ZM9xudRA,1919,6,14,Jordbrukarnas fria grupp,1918-01-01,1922-01-01,false,-8,8
1919,ak,i-SwzbNNYoyZYULLDiTu2zGP,1919,10,11,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,-1,1
1919,ak,i-VS8ddgxigwL5TceKtXGApS,1919,87,86,Socialdemokraterna,1889-01-01,9999-12-31,false,1,1
1919,fk,i-3kDgsboJBSv4zGqF4zfCsY,1919,87,88,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-1,1
1919,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1919,4,0,Utan partibeteckning,1000-01-01,9999-12-31,false,4,4
1919,fk,i-CNbGLyuzdkRJ2sJBBpzJit,1919,7,0,Bondeförbundet,1913-01-01,1956-12-31,false,7,7
1919,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1919,47,45,Liberala samlingspartiet,1900-01-16,1924-01-01,false,2,2
1919,fk,i-PvAXgvY3G8qXv1ZM9xudRA,1919,7,0,Jordbrukarnas fria grupp,1918-01-01,1922-01-01,false,7,7
1919,fk,i-SwzbNNYoyZYULLDiTu2zGP,1919,2,1,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,1,1
1919,fk,i-VS8ddgxigwL5TceKtXGApS,1919,42,16,Socialdemokraterna,1889-01-01,9999-12-31,false,26,26
1920,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1920,2,0,Utan partibeteckning,1000-01-01,9999-12-31,false,2,2
1920,ak,i-CJb7bcc1eZcehvGarg8GpB,1920,1,0,Vänsterpartiet,1990-01-01,9999-12-31,false,1,1
1920,ak,i-CNbGLyuzdkRJ2sJBBpzJit,1920,9,0,Bondeförbundet,1913-01-01,1956-12-31,false,9,9
1920,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,1920,61,62,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-1,1
1920,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1920,54,57,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,-3,3
1920,ak,i-PgZ4noUUgrkZvcF5NuPikj,1920,2,0,Lantmannapartiet,1867-03-10,1912-01-01,false,2,2
1920,ak,i-PvAXgvY3G8qXv1ZM9xudRA,1920,6,14,Jordbrukarnas fria grupp,1918-01-01,1922-01-01,false,-8,8
1920,ak,i-SwzbNNYoyZYULLDiTu2zGP,1920,10,11,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,-1,1
1920,ak,i-VS8ddgxigwL5TceKtXGApS,1920,85,86,Socialdemokraterna,1889-01-01,9999-12-31,false,-1,1
1920,fk,i-3kDgsboJBSv4zGqF4zfCsY,1920,36,88,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-52,52
1920,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1920,4,0,Utan partibeteckning,1000-01-01,9999-12-31,false,4,4
1920,fk,i-CNbGLyuzdkRJ2sJBBpzJit,1920,9,0,Bondeförbundet,1913-01-01,1956-12-31,false,9,9
1920,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1920,39,45,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-6,6
