year,chamber,party_id,nr_seats,artificial
1912,ak,i-NhgK2ujGF5t35o2VjT8Q5U,64
1912,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,102
1912,ak,i-VS8ddgxigwL5TceKtXGApS,64
1914,ak,i-NhgK2ujGF5t35o2VjT8Q5U,86
1914,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,70
1914,ak,i-VS8ddgxigwL5TceKtXGApS,74
1915,ak,i-NhgK2ujGF5t35o2VjT8Q5U,86
1915,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,57
1915,ak,i-VS8ddgxigwL5TceKtXGApS,87
1918,ak,i-NhgK2ujGF5t35o2VjT8Q5U,57
1918,ak,i-PvAXgvY3G8qXv1ZM9xudRA,14
1918,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,62
1918,ak,i-VS8ddgxigwL5TceKtXGApS,86
1918,ak,i-SwzbNNYoyZYULLDiTu2zGP,11
1921,ak,i-NhgK2ujGF5t35o2VjT8Q5U,71
1921,ak,i-PvAXgvY3G8qXv1ZM9xudRA,30
1921,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,47
1921,ak,i-VS8ddgxigwL5TceKtXGApS,75
1921,ak,i-SwzbNNYoyZYULLDiTu2zGP,5
1921,ak,i-TQCUzfkvYhBFrXeQwXoENH,2
1922,ak,i-NhgK2ujGF5t35o2VjT8Q5U,62
1922,ak,i-CNbGLyuzdkRJ2sJBBpzJit,21
1922,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,41
1922,ak,i-VS8ddgxigwL5TceKtXGApS,93
1922,ak,i-SwzbNNYoyZYULLDiTu2zGP,6
1922,ak,i-TQCUzfkvYhBFrXeQwXoENH,7
1924,ak,i-NhgK2ujGF5t35o2VjT8Q5U,62,1
1924,ak,i-CNbGLyuzdkRJ2sJBBpzJit,21,1
1924,ak,i-9fghptqkyNzTVdA8knRCGq,6,1
1924,ak,i-V7MTfG5XaAmjbSDtLkyyfc,35,1
1924,ak,i-VS8ddgxigwL5TceKtXGApS,93,1
1924,ak,i-SwzbNNYoyZYULLDiTu2zGP,6,1
1924,ak,i-TQCUzfkvYhBFrXeQwXoENH,7,1
1925,ak,i-NhgK2ujGF5t35o2VjT8Q5U,65
1925,ak,i-CNbGLyuzdkRJ2sJBBpzJit,23
1925,ak,i-9fghptqkyNzTVdA8knRCGq,4
1925,ak,i-V7MTfG5XaAmjbSDtLkyyfc,27
1925,ak,i-VS8ddgxigwL5TceKtXGApS,104
1925,ak,i-TQCUzfkvYhBFrXeQwXoENH,5
1925,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1929,ak,i-NhgK2ujGF5t35o2VjT8Q5U,73
1929,ak,i-CNbGLyuzdkRJ2sJBBpzJit,27
1929,ak,i-9fghptqkyNzTVdA8knRCGq,4
1929,ak,i-V7MTfG5XaAmjbSDtLkyyfc,28
1929,ak,i-VS8ddgxigwL5TceKtXGApS,90
1929,ak,i-TQCUzfkvYhBFrXeQwXoENH,8
1933,ak,i-NhgK2ujGF5t35o2VjT8Q5U,58
1933,ak,i-CNbGLyuzdkRJ2sJBBpzJit,36
1933,ak,i-9fghptqkyNzTVdA8knRCGq,4
1933,ak,i-V7MTfG5XaAmjbSDtLkyyfc,20
1933,ak,i-VS8ddgxigwL5TceKtXGApS,104
1933,ak,i-VzZnBZoi4EChaiCfF6kxbz,6
1933,ak,i-TQCUzfkvYhBFrXeQwXoENH,2
1934,ak,i-NhgK2ujGF5t35o2VjT8Q5U,58,1
1934,ak,i-CNbGLyuzdkRJ2sJBBpzJit,36,1
1934,ak,i-9fghptqkyNzTVdA8knRCGq,4,1
1934,ak,i-V7MTfG5XaAmjbSDtLkyyfc,20,1
1934,ak,i-VS8ddgxigwL5TceKtXGApS,104,1
1934,ak,i-SeXPXWPfyJxdeuuFtkdhxh,6,1
1934,ak,i-TQCUzfkvYhBFrXeQwXoENH,2,1
1935,ak,i-4nyjRorziqEDtDmp1ZXDoP,58,1
1935,ak,i-CNbGLyuzdkRJ2sJBBpzJit,36,1
1935,ak,i-FpGjUCojANuvvwqsNXjcuu,24
1935,ak,i-VS8ddgxigwL5TceKtXGApS,104,1
1935,ak,i-SeXPXWPfyJxdeuuFtkdhxh,6,1
1935,ak,i-TQCUzfkvYhBFrXeQwXoENH,2,1
1937,ak,i-4nyjRorziqEDtDmp1ZXDoP,44
1937,ak,i-CNbGLyuzdkRJ2sJBBpzJit,36
1937,ak,i-FpGjUCojANuvvwqsNXjcuu,27
1937,ak,i-VS8ddgxigwL5TceKtXGApS,112
1937,ak,i-SeXPXWPfyJxdeuuFtkdhxh,6
1937,ak,i-TQCUzfkvYhBFrXeQwXoENH,5
1941,ak,i-4nyjRorziqEDtDmp1ZXDoP,42
1941,ak,i-CNbGLyuzdkRJ2sJBBpzJit,28
1941,ak,i-FpGjUCojANuvvwqsNXjcuu,23
1941,ak,i-VS8ddgxigwL5TceKtXGApS,134
1941,ak,i-TQCUzfkvYhBFrXeQwXoENH,3
1945,ak,i-4nyjRorziqEDtDmp1ZXDoP,39
1945,ak,i-CNbGLyuzdkRJ2sJBBpzJit,35
1945,ak,i-FpGjUCojANuvvwqsNXjcuu,26
1945,ak,i-VS8ddgxigwL5TceKtXGApS,115
1945,ak,i-TQCUzfkvYhBFrXeQwXoENH,15
1949,ak,i-4nyjRorziqEDtDmp1ZXDoP,23
1949,ak,i-CNbGLyuzdkRJ2sJBBpzJit,30
1949,ak,i-FpGjUCojANuvvwqsNXjcuu,57
1949,ak,i-VS8ddgxigwL5TceKtXGApS,112
1949,ak,i-TQCUzfkvYhBFrXeQwXoENH,8
1953,ak,i-4nyjRorziqEDtDmp1ZXDoP,31
1953,ak,i-CNbGLyuzdkRJ2sJBBpzJit,26
1953,ak,i-FpGjUCojANuvvwqsNXjcuu,58
1953,ak,i-VS8ddgxigwL5TceKtXGApS,110
1953,ak,i-TQCUzfkvYhBFrXeQwXoENH,5
1957,ak,i-4nyjRorziqEDtDmp1ZXDoP,42
1957,ak,i-UiFZiVNo3YgVfyN93Qigiv,19
1957,ak,i-FpGjUCojANuvvwqsNXjcuu,58
1957,ak,i-VS8ddgxigwL5TceKtXGApS,106
1957,ak,i-TQCUzfkvYhBFrXeQwXoENH,6
1958,ak,i-4nyjRorziqEDtDmp1ZXDoP,45
1958,ak,i-UiFZiVNo3YgVfyN93Qigiv,32
1958,ak,i-FpGjUCojANuvvwqsNXjcuu,38
1958,ak,i-VS8ddgxigwL5TceKtXGApS,111
1958,ak,i-TQCUzfkvYhBFrXeQwXoENH,5
1961,ak,i-4nyjRorziqEDtDmp1ZXDoP,39
1961,ak,i-UiFZiVNo3YgVfyN93Qigiv,34
1961,ak,i-FpGjUCojANuvvwqsNXjcuu,40
1961,ak,i-VS8ddgxigwL5TceKtXGApS,114
1961,ak,i-TQCUzfkvYhBFrXeQwXoENH,5
1965,ak,i-4nyjRorziqEDtDmp1ZXDoP,33
